time,y
279.8,-7.811
280,-6.874
280.2,-4.28
280.4,-12.71
280.6,-16.91
280.8,-3.413
281,-5.029
281.2,-18.68
281.4,-9.929
281.6,-0.9827
281.8,-1.571
282,-8.857
282.2,-24.8
282.4,-2.529
282.6,-1.768
282.8,-4.238
283,0.3114
283.2,-0.6127
283.4,-3.038
283.6,-2.239
283.8,0.4175
284,-0.7878
284.2,-3.853
284.4,-0.5479
284.6,0.9227
284.8,2.092
285,10.29
285.2,17.58
285.4,2.769
285.6,4.562
285.8,15.42
286,4.549
286.2,0.708
286.4,2.692
286.6,13.84
286.8,6.4
287,-0.7944
287.2,-3.229
287.4,-9.057
287.6,-3.689
287.8,-0.8516
288,-2.836
288.2,-9.987
288.4,-3.837
288.6,-2.992
288.8,-11.88
289,-18.97
289.2,-1.971
289.4,-0.3448
289.6,-1.605
289.8,-6.093
290,2.448
290.2,4.403
290.4,13.61
290.6,12.33
290.8,2.899
291,5.883
291.2,18.78
291.4,6.774
291.6,0.9068
291.8,2.719
292,14.7
292.2,12.17
292.4,3.058
292.6,7.864
292.8,14.38
293,2.361
293.2,2.794
293.4,11.27
293.6,9.821
293.8,0.5653
294,0.1824
294.2,1.104
294.4,7.807
294.6,16.74
294.8,-1.16
295,-4.232
295.2,-7.679
295.4,-4.031
295.6,-3.429
295.8,-7.386
296,-5.196
296.2,-2.715
296.4,-6.012
296.6,-6.992
296.8,-2.447
297,-3.992
297.2,-8.505
297.4,-3.382
297.6,-2.178
297.8,-6.662
298,-6.769
298.2,-1.342
298.4,-2.225
298.6,-8.444
298.8,-5.357
299,-0.8541
299.2,-2.64
299.4,-14.8
299.6,-14.94
299.8,-1.443
300,-2.302
