time,x
216.2,8.4069821
216.4,12.567432
216.6,2.7274999
216.8,2.7049342
217,10.883629
217.2,10.288886
217.4,1.2818326
217.6,1.5343838
217.8,8.305363
218,22.439097
218.2,1.3358309
218.4,-0.48956969
218.6,-1.7020859
218.8,-3.1029061
219,-0.6022574
219.2,-0.65064561
219.4,-3.1238165
219.6,-1.8273077
219.8,-0.21229693
220,-0.38946488
220.2,-2.9484941
220.4,-2.8762699
220.6,-3.9009116
220.8,-14.734233
221,-14.629979
221.2,-1.6875453
221.4,-0.95344754
221.6,-5.0628258
221.8,-24.967027
222,-6.2815286
222.2,-3.2174797
222.4,-8.623994
222.6,-4.1932327
222.8,-1.6065414
223,-5.2895318
223.2,-9.48297
223.4,-1.0554449
223.6,-1.9287798
223.8,-7.913599
224,-5.541619
224.2,-0.076472345
224.4,-0.41772351
224.6,-2.4496593
224.8,-13.030397
225,0.1928178
225.2,3.6966259
225.4,10.117033
225.6,10.214694
225.8,3.3242011
226,6.2669138
226.2,13.849933
226.4,4.6835388
226.6,2.8795375
226.8,9.782311
227,11.244908
227.2,1.7844808
227.4,1.6875738
227.6,8.1052972
227.8,13.822814
228,2.8267156
228.2,5.5278796
228.4,18.94285
228.6,6.4665935
228.8,0.83193952
229,2.6303528
229.2,14.315039
229.4,12.133796
229.6,0.29251083
229.8,-0.58804665
230,-2.4691722
230.2,-2.3600921
230.4,-0.38351795
230.6,-0.64260775
230.8,-3.6260276
231,-1.6154053
231.2,-0.46779505
231.4,-2.2293913
231.6,-14.365233
231.8,-15.593921
232,-3.1368106
232.2,-6.2765944
232.4,-7.5248883
232.6,-1.8625837
232.8,-4.1158382
233,-9.7232845
233.2,-2.2418943
233.4,-2.2046617
233.6,-7.5648776
233.8,-5.9311562
234,-0.9000311
234.2,-2.9978259
234.4,-10.733495
234.6,-1.8758958
234.8,-0.13472006
235,-0.90393798
235.2,-5.3998293
235.4,-10.839525
235.6,1.7057968
235.8,5.2148466
236,13.167825
236.2,6.4239659
236.4,3.0649962
236.6,8.9070621
236.8,12.006201
237,2.5689337
237.2,3.0315243
237.4,11.900865
237.6,9.1827359
237.8,1.0110002
238,1.0071877
238.2,5.7096208
238.4,25.031994
238.6,2.5241912
238.8,-0.50826
239,-1.5872075
239.2,-3.0753158
239.4,-0.81824108
239.6,-0.87926749
239.8,-3.2174568
240,-1.4697073
240.2,-0.47852002
240.4,-1.419847
240.6,-3.5691692
240.8,-0.50755216
241,-0.2662715
241.2,-1.2300095
241.4,-4.23327
241.6,-2.100743
241.8,-7.0586066
242,-22.653005
242.2,-5.5339353
242.4,-0.53996457
242.6,-1.6321115
242.8,-9.3046815
243,-3.2517562
243.2,2.3197971
243.4,6.9308249
243.6,13.505242
243.8,4.1261184
244,3.2726443
244.2,11.089118
244.4,9.7535651
244.6,1.5407542
244.8,2.4038648
245,11.157217
245.2,10.254036
245.4,2.1897498
245.6,5.8603089
245.8,20.518341
246,4.9822412
246.2,0.18038221
246.4,-0.072475568
246.6,-0.33505829
246.8,-3.7659312
247,-4.0242867
247.2,-8.3841633
247.4,-18.994339
247.6,-7.4879689
