time,z
184,29.79
184.2,29.24
184.4,20.17
184.6,24.59
184.8,32.69
185,21.72
185.2,19.3
185.4,34.99
185.6,24.99
185.8,17.1
186,28.28
186.2,30.96
186.4,18.9
186.6,15.53
186.8,37.3
187,25.52
187.2,15.06
187.4,10.52
187.6,35.14
187.8,28.66
188,17.41
188.2,19.53
188.4,36.3
188.6,21.98
188.8,13.46
189,17.89
189.2,37.32
189.4,21.26
189.6,13.35
189.8,23.13
190,34.02
190.2,19.49
190.4,12.06
190.6,20.81
190.8,35.26
191,20.1
191.2,14.18
191.4,33.61
191.6,28.54
191.8,16.63
192,9.803
192.2,7.36
192.4,39.58
192.6,27.86
192.8,19.61
193,29.5
193.2,29.63
193.4,19.9
193.6,23.08
193.8,33.7
194,22.02
194.2,17.65
194.4,34.74
194.6,26.45
194.8,16.8
195,21.62
195.2,34.99
195.4,20.89
195.6,13.05
195.8,21.64
196,34.86
196.2,19.9
196.4,12.7
196.6,25.53
196.8,32.73
197,18.81
197.2,12.36
197.4,29.22
197.6,30.96
197.8,17.94
198,12.48
198.2,33.93
198.4,28.77
198.6,16.81
198.8,12.08
199,36.02
199.2,27.87
199.4,16.46
199.6,13.96
199.8,39.11
200,24.96
200.2,14.69
200.4,10.84
200.6,37.9
200.8,27.37
201,16.8
201.2,20.43
201.4,35.76
201.6,21.32
201.8,12.97
202,16.7
202.2,38.12
202.4,21.65
202.6,14.08
202.8,27.43
203,31.73
203.2,18.35
203.4,10.77
203.6,6.665
203.8,18.97
204,35.49
204.2,21.7
204.4,24.01
204.6,32.72
204.8,22.78
205,20.39
205.2,33.98
205.4,25.25
205.6,18.47
205.8,30.5
206,29.26
206.2,18.93
206.4,21.3
206.6,34.99
206.8,22.1
207,15.39
207.2,31.38
207.4,29.48
207.6,17.42
207.8,11.9
208,32.83
208.2,29.39
208.4,17.23
208.6,13.72
208.8,38.26
209,25.87
209.2,15.15
209.4,10.05
209.6,30.88
209.8,30.44
210,18.33
210.2,19.49
210.4,36.21
210.6,22.48
210.8,14.21
211,22.9
211.2,34.2
211.4,19.67
211.6,11.62
211.8,9.288
212,41.14
212.2,26.44
212.4,17.91
212.6,28.72
212.8,30.56
213,19.13
213.2,17.88
213.4,36.82
213.6,23.89
213.8,14.8
214,19.53
214.2,36.32
214.4,20.96
214.6,12.35
214.8,8.908
215,37.57
215.2,28.11
215.4,18.27
215.6,26.04
215.8,32.15
216,20.09
216.2,16.79
216.4,36.47
216.6,25.42
216.8,15.5
217,16.65
217.2,38.28
217.4,22.52
217.6,13.26
217.8,9.36
218,36.23
218.2,28.5
218.4,18.02
218.6,24.01
218.8,33.43
219,20.59
219.2,15.18
219.4,34.56
219.6,27.69
219.8,16.34
220,11.23
220.2,33.62
220.4,29.16
220.6,17.32
220.8,16.24
221,38.2
221.2,23.73
221.4,13.93
221.6,8.733
221.8,22.77
222,33.87
222.2,20.24
222.4,21.13
222.6,34.86
222.8,22.87
223,16.57
223.2,32.33
223.4,28.64
223.6,17.44
223.8,15.85
224,38.27
224.2,24.11
224.4,14.14
224.6,8.69
