time,A,B
2.340000000000000213e+01,"(-11.9711, 2.0802)","(6.9112, -0.1053)"
2.350000000000000000e+01,"(-3.7981, 0.9701)","(6.995, 0.3689)"
2.360000000000000142e+01,"(-2.3697, 0.0301)","(14.9289, 1.1443)"
2.370000000000000284e+01,"(-6.191, -0.4637)","(28.5434, 2.0557)"
2.380000000000000071e+01,"(-18.604, -1.5754)","(19.0598, 0.1845)"
2.390000000000000213e+01,"(-36.8976, -1.9092)","(6.7036, -0.5973)"
2.400000000000000000e+01,"(-14.3775, 4.0429)","(1.5436, -0.1715)"
2.410000000000000142e+01,"(-7.5809, 5.1797)","(0.5342, 0.0152)"
2.420000000000000284e+01,"(-9.9224, 8.6436)","(1.6675, 0.1415)"
2.430000000000000071e+01,"(-17.0376, 15.3162)","(5.9044, 0.5313)"
2.440000000000000213e+01,"(-15.7452, 16.0714)","(22.013, 1.9936)"
2.450000000000000000e+01,"(-6.3559, 8.4385)","(41.1045, 2.6777)"
2.460000000000000142e+01,"(-3.7244, 4.3096)","(16.962, -2.7076)"
2.470000000000000284e+01,"(-6.8003, 6.1874)","(15.2363, -4.3054)"
2.480000000000000071e+01,"(-15.579, 13.6015)","(18.4049, -5.8462)"
2.490000000000000213e+01,"(-21.1075, 20.0398)","(16.8482, -5.7376)"
2.500000000000000000e+01,"(-7.1186, 10.4257)","(12.4355, -4.4194)"
2.510000000000000142e+01,"(-1.6737, 3.5589)","(11.8214, -3.9819)"
2.520000000000000284e+01,"(-0.2685, 0.8143)","(15.8646, -5.0722)"
2.530000000000000071e+01,"(-0.0814, 0.7287)","(19.9164, -6.4504)"
2.540000000000000213e+01,"(-0.1995, 2.2063)","(16.1014, -5.6486)"
2.550000000000000000e+01,"(-0.7722, 8.14)","(10.8422, -3.9299)"
2.560000000000000142e+01,"(-2.7386, 29.751)","(11.2212, -3.7209)"
2.570000000000000284e+01,"(0.9242, 31.8101)","(16.9908, -5.3455)"
2.580000000000000071e+01,"(8.2647, 14.255)","(21.4572, -6.9545)"
2.590000000000000213e+01,"(11.2758, 13.0406)","(14.8468, -5.401)"
2.600000000000000000e+01,"(13.4125, 13.9297)","(8.9522, -3.3256)"
2.610000000000000142e+01,"(11.495, 10.9233)","(10.2002, -3.3262)"
2.620000000000000284e+01,"(9.0461, 8.5486)","(17.7957, -5.5001)"
2.630000000000000071e+01,"(9.6252, 9.8871)","(23.5817, -7.6029)"
2.640000000000000213e+01,"(12.8653, 13.6741)","(13.8581, -5.2788)"
2.650000000000000000e+01,"(14.2182, 14.3597)","(6.7407, -2.6569)"
2.660000000000000142e+01,"(10.7163, 9.7577)","(7.6436, -2.4823)"
2.670000000000000284e+01,"(8.0791, 7.6099)","(15.9431, -4.8271)"
2.680000000000000071e+01,"(9.5736, 10.0664)","(27.123, -8.4499)"
2.690000000000000213e+01,"(13.9739, 15.0497)","(15.7123, -6.085)"
2.700000000000000000e+01,"(14.6509, 14.5209)","(5.4015, -2.559)"
2.710000000000000142e+01,"(9.5879, 8.2718)","(2.0117, -0.7851)"
2.720000000000000284e+01,"(6.8875, 6.4823)","(4.2719, -1.2915)"
2.730000000000000071e+01,"(9.2805, 9.9982)","(12.6428, -3.6913)"
2.740000000000000213e+01,"(15.1503, 16.5901)","(32.5344, -9.6763)"
2.750000000000000000e+01,"(15.2993, 14.8881)","(19.0359, -7.6122)"
