time,A_x,A_y,A_z,B_x,B_y,B_z,C_x,C_y,C_z,D_x,D_y,D_z,E_x,E_y,E_z,F_x,F_y,F_z,G_x,G_y,G_z,H_x,H_y,H_z,I_x,I_y,I_z
8,2.1086563,1.8501479,20.479663,3.8415896,0.0075228884,24.825979,23.356504,-2.1680092,34.139676,-4.4835885,-1.1915025,13.44356,5.1781883,-14.252177,14.831971,-0.62798469,0.67590769,17.065616,1.7908314,-0.063684668,23.271335,4.7282355,0.68961291,22.09924,6.0052628,-1.1164054,31.100009
8.2,5.2238976,7.292942,14.183249,6.9593066,0.92656348,16.230579,3.3394826,-1.9196568,28.773397,-19.554954,-5.0911005,18.40567,2.3067381,-14.7542,39.284455,-3.2077934,2.4141006,10.372254,1.2148369,1.9009714,13.798102,12.098229,2.4391374,17.86011,2.023675,-0.0053620117,18.392533
8.4,14.859743,16.611338,32.129361,20.798491,2.6062026,25.315165,1.7667554,-2.384761,16.899453,-9.6189775,1.2870229,36.962499,-0.54572196,-1.629581,23.763866,-16.914881,12.915833,16.470438,5.5410458,10.19007,10.948781,17.230076,2.4937124,34.724006,7.877869,0.52456036,12.296145
8.6,4.4008413,0.56073569,29.320899,7.4849864,-0.43311242,32.774113,7.2932003,-9.8635142,13.516595,-1.2228185,1.4047012,21.055526,-1.5470022,-1.8472323,14.050204,-2.9599584,9.002346,37.820248,15.931164,12.722723,40.088585,4.371489,0.27917239,26.350542,24.060675,0.76120653,30.721014
8.8,0.34963384,0.17261637,17.065717,2.044619,0.13403813,19.44986,9.5016459,-16.328774,38.507387,-3.1884298,4.9262808,13.211804,-7.666903,-9.2808416,11.355371,2.545139,3.5344838,21.450541,0.76170766,-3.2017429,26.163252,6.0707124,1.1890664,16.88613,4.4626004,-1.4448063,30.281746
9,0.79751322,1.1679109,10.056437,7.1943039,1.0494519,12.739277,0.31792237,-2.4064677,25.798835,-11.913401,19.231617,23.05107,-14.519205,-13.238765,40.226613,7.9304621,9.9258414,17.393806,-3.3941227,-5.4461486,16.479465,19.31337,3.8327287,22.549032,1.7997124,-1.5437386,17.601442
9.2,4.9879449,7.6599296,7.4432169,23.689739,2.8997225,28.351321,-0.50493835,-1.9188998,15.153771,-0.76408691,7.2644453,34.062096,-3.0812626,-0.24998959,25.847908,12.732876,11.595835,35.533644,-11.417104,-16.807978,23.367219,9.1335159,0.42688141,34.405545,7.2676635,-6.3499267,12.519399
9.4,17.550632,18.048536,38.941199,5.3170578,-0.86290238,31.345391,-2.3958599,-9.1829722,10.83512,0.87324876,1.3285423,19.498721,-5.9858895,1.1176136,16.163007,3.3124569,1.9053736,25.919525,-8.345965,-1.5193286,33.923559,2.0949375,0.24310722,20.596291,16.104099,-15.809504,35.210988
9.6,3.8260087,-3.5270367,28.047637,1.557276,-0.90895261,18.103039,-7.550991,-22.227445,36.438514,3.5721863,4.431513,12.211116,-19.866784,3.9333913,22.501467,3.4221442,4.140488,16.233849,-1.5629503,-1.031328,20.139842,6.4454015,1.3552472,13.226173,1.4870375,-3.1941627,28.147491
9.8,3.6024661,-8.8052894,19.514264,6.1374359,-3.7658444,11.824671,-2.7722509,-2.4623749,28.032236,14.994394,17.819585,22.861422,-7.8234503,3.9435223,34.459572,11.991541,14.937524,20.305975,-3.0910873,-5.277764,12.776354,22.823078,4.4762425,25.671963,0.16789216,-2.3875851,16.485398
10,5.7531717,-17.623482,29.117049,20.590363,-13.374986,28.778589,-4.6573018,-1.9875547,17.018143,6.6164401,2.6176939,34.105923,-1.3560464,0.53689598,20.315633,8.8002925,4.9345092,35.844097,-12.865999,-19.398041,24.225815,6.3273848,-0.2520051,32.656593,0.71345816,-10.391366,12.152314
10.2,0.038119098,-7.4434109,29.917037,3.2722474,-4.0472005,31.19867,-16.46288,-6.9760716,19.149666,2.4483176,-0.82621289,19.527385,-4.3350415,0.77338177,12.416081,1.1319657,0.58108938,21.159336,-6.5898296,1.426517,33.403286,1.2725424,-0.49673625,18.774,-0.06882928,-21.784179,37.112568
10.4,2.1346448,-6.2552799,19.941395,0.94307039,-2.7860479,18.136903,-11.162137,-2.3481948,36.571085,8.6162279,-3.3248794,13.597812,-20.244509,3.6378166,17.747386,1.7256459,2.21344,12.622631,0.69634877,1.8044499,19.154232,4.7036019,-2.0819977,11.627127,-1.2315527,-2.9059993,27.294948
10.6,6.3982603,-16.033597,22.429156,3.553771,-10.741946,13.801996,-1.588395,-0.26716894,21.968284,20.256014,-9.6439904,33.271813,-8.3032416,4.8229387,37.28538,8.8902211,11.861948,12.100563,3.5578323,6.222197,12.471747,20.90939,-9.4553233,20.905612,-2.2216843,-2.5238658,16.179659
10.8,0.46603553,-11.109976,34.096082,4.974984,-19.442741,37.046147,-3.0919224,-1.3250664,13.201229,2.4436306,-3.1932982,28.857218,-1.0798573,2.4600369,21.129456,12.866021,8.8768522,41.322592,14.099905,19.503342,28.1802,6.049362,-4.8352356,35.15399,-9.326452,-10.63566,14.328415
11,0.88620445,-4.373765,22.280651,-0.049169155,-2.8434313,26.675028,-15.187223,-6.6820739,13.978868,0.041648727,-0.62004007,16.767667,-2.8984065,8.0741651,14.332066,2.8933544,-1.3815904,24.122153,5.0531055,-1.9289741,31.441006,1.6493668,-2.7569434,20.081266,-12.180654,-10.764544,39.271117
11.2,4.52137,-10.571694,17.25115,-0.27594435,-0.75448973,15.568649,-13.158177,-2.662397,40.138886,-0.10897662,-2.5758703,9.9788416,-6.5479113,21.459875,30.995569,6.3066211,-5.0003357,16.005555,-0.92125874,-1.9349075,18.171967,5.3857889,-9.393533,14.885069,-1.7790967,-0.69977074,24.427211
11.4,4.4849852,-17.956474,34.202283,-1.375204,-3.5294586,9.4333806,-2.4389362,0.93776182,23.084505,-0.59521844,-15.677608,10.728762,0.25984084,4.8117165,29.883382,16.093569,-14.113973,28.308696,-4.1836912,-7.3648671,12.357177,9.1561079,-18.056192,35.301781,-2.1410232,-0.14418679,14.39773
11.6,-0.4582711,-4.4334752,27.104105,-7.8305681,-19.872283,15.584348,-6.2262384,3.3368222,14.891903,-5.102726,-13.740128,42.427836,-0.071309635,0.51535786,17.392213,2.6024003,-5.6460844,31.098808,-15.033795,-18.356647,32.372818,0.97343367,-3.3371206,27.344335,-10.621271,-0.76212374,10.866818
11.8,1.8959196,-4.8237449,16.945796,-5.8660734,-7.6423086,38.255239,-19.271859,10.863208,26.202988,-4.4312151,-1.5487122,24.015038,-0.68781491,1.858364,10.292134,1.6479113,-1.6315068,18.480042,-3.7042564,2.0989374,29.522207,0.62983677,-1.1842651,16.057097,-21.851546,0.23718608,38.756318
12,7.2236604,-16.66498,19.570251,-4.4624089,-2.4473943,21.772035,-4.6465186,4.6977567,32.343026,-11.175993,-2.7272812,18.384591,-4.3850239,11.525403,8.9480733,7.0791873,-5.4266721,12.793313,1.1082458,2.08191,17.20722,3.1729346,-5.4384792,10.284089,-2.9962407,1.608263,26.933344
12.2,-0.55895249,-11.054267,36.297705,-12.284857,-6.4335361,18.915697,-0.60331478,0.49527396,18.812146,-17.782768,-2.700246,33.254735,-3.6959877,19.098168,42.693003,16.98441,-15.701919,33.211501,4.8397429,8.5676495,12.348844,12.443375,-22.269708,26.445873,-4.3064592,3.8380644,16.661382
12.4,-0.15209985,-1.6421853,21.772654,-14.22207,-6.0789938,35.252349,-2.2394728,1.1787476,11.189766,-5.2460629,0.079362726,27.326407,2.5651592,3.9214572,25.751923,0.63114228,-3.9724359,29.051569,15.464967,16.241631,35.782321,1.1250732,-5.7302073,32.271632,-14.400963,12.979674,21.339867
12.6,1.5420191,-3.4261677,13.160981,-3.9642578,-1.4905239,25.045057,-12.968563,6.7012095,10.882389,-6.5219502,-1.4739677,17.862327,6.7586967,7.7290007,18.592919,-1.0370931,-1.4415602,16.90624,2.6515919,-2.1461562,27.911678,-0.49964359,-4.6344098,19.026632,-5.8446398,7.7099652,35.177822
12.8,7.637524,-16.289706,15.310285,-6.8289542,-3.5570549,16.754321,-12.552161,9.9179079,42.212652,-18.782995,-4.3636332,23.535713,13.091771,13.492451,31.173602,-4.6238527,-6.1309651,11.241841,-1.3569891,-2.3887505,16.407127,-1.7052509,-15.20389,17.901903,-1.0649843,1.2809836,20.917437
13,-1.4914041,-11.827049,39.168878,-18.527654,-9.3750266,26.890064,-1.0880807,3.8888418,24.388146,-9.15752,0.36023722,33.725281,4.9729948,3.6948347,28.786933,-16.374645,-18.710346,30.889297,-5.8229305,-10.282867,12.8792,-2.9600881,-13.918103,36.903961,-3.5203377,3.1052922,12.854032
13.2,-2.4034008,-0.37391925,22.335091,-6.7643244,-2.0853954,31.816179,-1.7159808,9.7685461,17.342283,-3.1547505,-0.3965329,20.707524,4.2611914,4.6563656,18.758436,-4.6902851,-0.34657734,30.32065,-15.182636,-12.490569,38.570119,-0.67230082,-2.5131486,23.738752,-15.646496,13.849053,18.779625
