time,A,B
1.520000000000000107e+01,"(-10.8018, 9.8683)","(-5.4169, -0.088)"
1.530000000000000071e+01,"(-17.787, 16.2623)","(-4.8264, 0.4464)"
1.540000000000000036e+01,"(-13.6493, 14.5868)","(-7.1901, 0.8261)"
1.550000000000000000e+01,"(-5.617, 7.414)","(-12.0894, 1.3901)"
1.560000000000000142e+01,"(-4.3322, 4.6267)","(-18.3193, 2.2032)"
1.570000000000000107e+01,"(-8.6354, 7.7415)","(-17.1071, 2.4881)"
1.580000000000000071e+01,"(-18.259, 16.1022)","(-9.3853, 1.7638)"
1.590000000000000036e+01,"(-17.5146, 17.844)","(-4.9114, 0.9218)"
1.600000000000000000e+01,"(-5.2272, 8.2703)","(-4.5142, 0.6408)"
1.610000000000000142e+01,"(-1.3689, 2.432)","(-7.1009, 0.8431)"
1.619999999999999929e+01,"(-1.2, 1.204)","(-12.7548, 1.4476)"
1.630000000000000071e+01,"(-3.6669, 3.1309)","(-19.6699, 2.3588)"
1.640000000000000213e+01,"(-11.9013, 9.9709)","(-16.8361, 2.5514)"
1.650000000000000000e+01,"(-28.8215, 25.1503)","(-8.1961, 1.6644)"
1.660000000000000142e+01,"(-9.1876, 14.7433)","(-3.7556, 0.7554)"
1.669999999999999929e+01,"(-2.1582, 10.9386)","(-3.3103, 0.473)"
1.680000000000000071e+01,"(-0.9669, 14.6688)","(-5.5339, 0.6455)"
1.690000000000000213e+01,"(-0.9385, 22.1416)","(-10.786, 1.1935)"
1.700000000000000000e+01,"(0.3675, 19.9737)","(-19.3463, 2.207)"
1.710000000000000142e+01,"(1.0396, 10.9206)","(-19.9396, 2.8048)"
1.719999999999999929e+01,"(0.1944, 8.4463)","(-9.5039, 1.9782)"
1.730000000000000071e+01,"(-0.6374, 13.7466)","(-3.4362, 0.8572)"
1.740000000000000213e+01,"(-1.1989, 24.095)","(-1.3131, 0.2658)"
1.750000000000000000e+01,"(0.5431, 21.2731)","(-1.6324, 0.2063)"
1.760000000000000142e+01,"(1.4578, 9.3498)","(-3.3423, 0.3665)"
1.769999999999999929e+01,"(0.3194, 5.3082)","(-7.5897, 0.803)"
1.780000000000000071e+01,"(-0.4971, 9.3959)","(-17.0009, 1.8135)"
1.790000000000000213e+01,"(-1.4981, 21.6378)","(-25.0272, 3.0924)"
1.800000000000000000e+01,"(-0.5909, 29.0875)","(-12.6574, 2.5851)"
1.810000000000000142e+01,"(2.5165, 11.6129)","(-4.4766, 1.4662)"
1.819999999999999929e+01,"(1.4503, 3.4235)","(-2.6723, 1.2581)"
1.830000000000000071e+01,"(1.1147, 1.5134)","(-3.9372, 2.0471)"
1.840000000000000213e+01,"(2.7285, 3.2327)","(-7.2888, 3.7969)"
1.850000000000000000e+01,"(8.4939, 10.133)","(-13.9092, 7.2504)"
1.860000000000000142e+01,"(23.407, 27.229)","(-19.2815, 10.3792)"
1.869999999999999929e+01,"(16.1246, 11.8547)","(-11.9214, 7.2119)"
1.880000000000000071e+01,"(10.9913, 2.6117)","(-4.6473, 3.1913)"
1.890000000000000213e+01,"(13.5991, 0.9934)","(-1.6624, 1.1195)"
1.900000000000000000e+01,"(21.2428, 0.9979)","(-1.402, 0.7874)"
1.910000000000000142e+01,"(21.4396, -0.0905)","(-2.6464, 1.3857)"
1.920000000000000284e+01,"(11.9421, -1.1182)","(-5.7786, 2.9811)"
1.930000000000000071e+01,"(8.1157, -0.3432)","(-12.9231, 6.6577)"
1.940000000000000213e+01,"(12.2575, 0.5057)","(-21.7294, 11.4915)"
1.950000000000000000e+01,"(22.5657, 1.2168)","(-13.6179, 8.2561)"
1.960000000000000142e+01,"(23.5787, -0.0924)","(-4.6558, 3.5495)"
1.970000000000000284e+01,"(10.764, -1.6011)","(-1.8109, 1.7634)"
1.980000000000000071e+01,"(5.1316, -0.5094)","(-2.1384, 2.4021)"
1.990000000000000213e+01,"(7.7454, 0.3376)","(-3.8642, 4.394)"
2.000000000000000000e+01,"(18.247, 1.2922)","(-7.7966, 8.8397)"
2.010000000000000142e+01,"(30.9289, 1.3275)","(-13.7441, 15.753)"
2.020000000000000284e+01,"(14.5509, -2.3697)","(-12.1681, 14.9089)"
2.030000000000000071e+01,"(4.6347, -1.9057)","(-4.8294, 6.9022)"
2.040000000000000213e+01,"(2.0814, -1.5216)","(-1.4944, 2.3622)"
2.050000000000000000e+01,"(4.159, -3.5253)","(-0.385, 0.6008)"
2.060000000000000142e+01,"(12.247, -10.3285)","(-0.2452, 0.3033)"
2.070000000000000284e+01,"(27.3785, -24.1066)","(-0.5289, 0.6015)"
2.080000000000000071e+01,"(9.208, -14.0802)","(-1.2625, 1.4185)"
2.090000000000000213e+01,"(2.0634, -9.0929)","(-3.2234, 3.6067)"
2.100000000000000000e+01,"(0.895, -12.0521)","(-8.3754, 9.3672)"
2.110000000000000142e+01,"(1.2056, -21.4226)","(-17.3279, 19.6812)"
2.120000000000000284e+01,"(0.1454, -24.082)","(-11.7629, 15.0452)"
2.130000000000000071e+01,"(-1.5213, -11.8399)","(-3.6108, 6.3853)"
2.140000000000000213e+01,"(-0.5767, -5.7847)","(-1.9837, 4.8713)"
2.150000000000000000e+01,"(0.3098, -8.1108)","(-2.4386, 6.7243)"
2.160000000000000142e+01,"(1.243, -18.2717)","(-3.8202, 10.6083)"
2.170000000000000284e+01,"(1.2181, -29.9609)","(-5.6868, 15.9611)"
2.180000000000000071e+01,"(-2.1673, -14.6234)","(-5.5876, 16.6479)"
2.190000000000000213e+01,"(-1.6073, -4.6098)","(-3.1509, 10.5879)"
2.200000000000000000e+01,"(-0.5333, -1.0351)","(-1.7474, 6.0109)"
2.210000000000000142e+01,"(-0.6957, -0.8625)","(-1.7059, 5.1863)"
2.220000000000000284e+01,"(-2.1042, -2.5158)","(-2.629, 7.417)"
2.230000000000000071e+01,"(-7.4926, -9.0375)","(-4.4569, 12.3496)"
2.240000000000000213e+01,"(-23.9774, -28.3462)","(-6.2862, 17.7797)"
2.250000000000000000e+01,"(-17.5643, -12.8553)","(-4.9458, 15.343)"
2.260000000000000142e+01,"(-14.1952, -2.9445)","(-2.3499, 8.3603)"
2.270000000000000284e+01,"(-17.0166, -1.0322)","(-1.3625, 4.6621)"
2.280000000000000071e+01,"(-20.1047, -0.4204)","(-1.6054, 4.7379)"
2.290000000000000213e+01,"(-16.3387, 0.4587)","(-2.7386, 7.6188)"
2.300000000000000000e+01,"(-11.9584, 0.4612)","(-4.8757, 13.4269)"
2.310000000000000142e+01,"(-12.8932, -0.1437)","(-6.7016, 19.0187)"
2.320000000000000284e+01,"(-18.46, -0.6484)","(-4.5118, 14.4664)"
2.330000000000000071e+01,"(-21.3319, -0.2589)","(-1.8576, 7.0055)"
2.340000000000000213e+01,"(-14.9409, 0.7768)","(-1.0089, 3.5391)"
2.350000000000000000e+01,"(-10.2764, 0.472)","(-1.2758, 3.7353)"
2.360000000000000142e+01,"(-12.4772, -0.2881)","(-2.3423, 6.4638)"
2.370000000000000284e+01,"(-20.0093, -0.8805)","(-4.5358, 12.3787)"
2.380000000000000071e+01,"(-22.5674, -0.1772)","(-7.0993, 19.8306)"
2.390000000000000213e+01,"(-13.2686, 1.1239)","(-5.1483, 16.2486)"
2.400000000000000000e+01,"(-8.1806, 0.4931)","(-1.8252, 7.3101)"
2.410000000000000142e+01,"(-11.1339, -0.3753)","(-0.6491, 2.7192)"
2.420000000000000284e+01,"(-20.8122, -1.1524)","(-0.535, 1.6919)"
2.430000000000000071e+01,"(-25.1083, -0.3218)","(-1.0103, 2.8042)"
2.440000000000000213e+01,"(-12.3864, 1.6112)","(-2.1661, 5.8596)"
2.450000000000000000e+01,"(-5.4669, 0.6913)","(-4.7584, 12.8229)"
2.460000000000000142e+01,"(-6.8828, -0.2191)","(-8.0516, 22.3102)"
2.470000000000000284e+01,"(-15.9791, -1.116)","(-4.9672, 16.2904)"
2.480000000000000071e+01,"(-30.4834, -1.6289)","(-1.2637, 6.294)"
2.490000000000000213e+01,"(-17.2321, 1.9859)","(-0.2109, 2.2691)"
2.500000000000000000e+01,"(-5.6512, 2.1235)","(0.008, 2.3062)"
2.510000000000000142e+01,"(-2.0695, 1.4022)","(0.0705, 4.1465)"
